,p_steam,Theta,CAH,k_coat,delta_coat,N_s,alpha,bond
6570,3895.4345703125,137.0654296875,48.32470703125,2.8940429687500004,3.4820458984375004e-05,541504.3647460938,11406.025876282607,0.19070581598692818
6571,3895.4345703125,137.0654296875,48.32470703125,2.1188476562500003,3.5941259765625e-05,541504.3647460938,9064.57524257387,0.19070581598692818
6572,3895.4345703125,137.0654296875,48.32470703125,2.1188476562500003,3.4820458984375004e-05,770996.3227539062,9289.192440953757,0.19070581598692818
6573,3895.4345703125,20.1904296875,86.13232421875,2.8940429687500004,3.5941259765625e-05,770996.3227539062,3003.6835090872464,32.67362324658903
6574,2087.5244140625,137.0654296875,86.13232421875,2.8940429687500004,3.5941259765625e-05,770996.3227539062,10240.034052833309,0.31814042094352857
6575,2087.5244140625,20.1904296875,48.32470703125,2.8940429687500004,3.5941259765625e-05,770996.3227539062,3290.344164955125,16.927833019552338
6576,2087.5244140625,20.1904296875,86.13232421875,2.1188476562500003,3.5941259765625e-05,770996.3227539062,2403.9622169808576,32.67362324658904
6577,2087.5244140625,20.1904296875,86.13232421875,2.8940429687500004,3.4820458984375004e-05,770996.3227539062,3036.2098565834553,32.67362324658904
6578,2087.5244140625,20.1904296875,86.13232421875,2.8940429687500004,3.5941259765625e-05,541504.3647460938,2967.6028758671123,32.67362324658904
6579,2087.5244140625,20.1904296875,86.13232421875,2.8940429687500004,3.5941259765625e-05,770996.3227539062,2971.800347823572,32.67362324658904
6580,2657.9345703125,9.5654296875,26.07470703125,9.46884765625,4.7295458984375e-05,791504.1147460938,1973.4828658447716,42.22985405295953
6581,3325.0244140625,9.5654296875,26.07470703125,9.46884765625,4.7295458984375e-05,791504.1147460938,1981.6372906811787,42.22985405295952
6582,2657.9345703125,62.6904296875,26.07470703125,9.46884765625,4.7295458984375e-05,791504.1147460938,31852.317783416656,0.9446194228217368
6583,2657.9345703125,9.5654296875,63.88232421875,9.46884765625,4.7295458984375e-05,791504.1147460938,1642.6552727247283,138.06791569200075
6584,2657.9345703125,9.5654296875,26.07470703125,0.44404296875000004,4.7295458984375e-05,791504.1147460938,202.1286743934293,42.22985405295953
6585,2657.9345703125,9.5654296875,26.07470703125,9.46884765625,4.8416259765625004e-05,791504.1147460938,1942.1203336413128,42.22985405295953
6586,2657.9345703125,9.5654296875,26.07470703125,9.46884765625,4.7295458984375e-05,520996.57275390625,1970.7376368579062,42.22985405295953
6587,2657.9345703125,62.6904296875,63.88232421875,0.44404296875000004,4.8416259765625004e-05,520996.57275390625,3460.575217060248,2.215335137196463
6588,3325.0244140625,9.5654296875,63.88232421875,0.44404296875000004,4.8416259765625004e-05,520996.57275390625,178.31092193067107,138.0679156920007
6589,3325.0244140625,62.6904296875,26.07470703125,0.44404296875000004,4.8416259765625004e-05,520996.57275390625,3894.5177911607493,0.9446194228217367
6590,3325.0244140625,62.6904296875,63.88232421875,9.46884765625,4.8416259765625004e-05,520996.57275390625,27305.717042229073,2.215335137196462
6591,3325.0244140625,62.6904296875,63.88232421875,0.44404296875000004,4.7295458984375e-05,520996.57275390625,3530.08054922111,2.215335137196462
6592,3325.0244140625,62.6904296875,63.88232421875,0.44404296875000004,4.8416259765625004e-05,791504.1147460938,3477.623622539482,2.215335137196462
6593,3325.0244140625,62.6904296875,63.88232421875,0.44404296875000004,4.8416259765625004e-05,520996.57275390625,3471.697245869663,2.215335137196462
6594,182.9345703125,94.5654296875,70.57470703125,4.568847656250001,2.2345458984375e-05,291504.61474609375,31189.09721133039,0.9795812601455461
6595,850.0244140625,94.5654296875,70.57470703125,4.568847656250001,2.2345458984375e-05,291504.61474609375,32397.36400362307,0.9795812601455458
6596,182.9345703125,147.6904296875,70.57470703125,4.568847656250001,2.2345458984375e-05,291504.61474609375,12961.218256215234,0.1606790285064876
6597,182.9345703125,94.5654296875,19.38232421875,4.568847656250001,2.2345458984375e-05,291504.61474609375,38117.36363326669,0.2854535702663565
6598,182.9345703125,94.5654296875,70.57470703125,5.34404296875,2.2345458984375e-05,291504.61474609375,34378.84985581171,0.9795812601455461
6599,182.9345703125,94.5654296875,70.57470703125,4.568847656250001,2.3466259765624997e-05,291504.61474609375,30250.351281242496,0.9795812601455461
6600,182.9345703125,94.5654296875,70.57470703125,4.568847656250001,2.2345458984375e-05,20997.07275390625,29320.084988949373,0.9795812601455461
6601,182.9345703125,147.6904296875,19.38232421875,5.34404296875,2.3466259765624997e-05,20997.07275390625,15895.453911696102,0.046720302642318176
6602,850.0244140625,94.5654296875,19.38232421875,5.34404296875,2.3466259765624997e-05,20997.07275390625,39763.0527503467,0.28545357026635637
6603,850.0244140625,147.6904296875,70.57470703125,5.34404296875,2.3466259765624997e-05,20997.07275390625,13467.16690821752,0.16067902850648758
6604,850.0244140625,147.6904296875,19.38232421875,4.568847656250001,2.3466259765624997e-05,20997.07275390625,14831.496695329904,0.04672030264231816
6605,850.0244140625,147.6904296875,19.38232421875,5.34404296875,2.2345458984375e-05,20997.07275390625,16885.117945651305,0.04672030264231816
6606,850.0244140625,147.6904296875,19.38232421875,5.34404296875,2.3466259765624997e-05,291504.61474609375,17403.927480425635,0.04672030264231816
6607,850.0244140625,147.6904296875,19.38232421875,5.34404296875,2.3466259765624997e-05,20997.07275390625,16374.185909963184,0.04672030264231816
6608,144.2626953125,34.7998046875,25.37939453125,8.167285156250001,1.6837402343749998e-06,111817.29443359375,64774.229668059306,3.028566883455494
